NODCCODE,Scientificname,Commonname
8708030102,Sphyrna zygaena,Smooth Hammerhead
8708030103,Sphyrna lewini,Scalloped Hammerhead
8708030104,Sphyrna mokarran,Great Hammerhead
8708040000,Triakidae spp.,.
8708040200,Mustelus spp.,.
8708040201,Mustelus canis,Smooth Dogfish
8708040203,Mustelus norrisi,Florida Smoothhound
8708040222,Mustelus sinusmexicanus,Gulf Smoothhound
8710010000,Squalidae spp.,.
8710010200,Squalus spp.,.
8710010201,Squalus acanthias,Spiny Dogfish
8710010203,Squalus cubensis,Cuban Dogfish
8710010205,Squalus mitsukurii,Shortspine Dogfish
8710010300,Centrophorus spp.,.
8710010301,Centrophorus granulosus,Gulper Shark
8710010303,Centrophorus uyato,Little Gulper Shark
8710010400,Dalatias spp.,.
8710010401,Dalatias licha,Kitefin Shark
8710010500,Etmopterus spp.,.
8710010506,Etmopterus virens,Green Lantern Shark
8710010509,Etmopterus gracilispinis,Broadband Lantern Shark
8710010600,Isistius spp.,.
8710010601,Isistius brasiliensis,Cookiecutter Shark
8710010700,Oxynotus spp.,
8710010701,Oxynotus caribbaeus,Caribbean roughshark
8710010900,Centroscyllium spp.,.
8710010901,Centroscyllium fabricii,Black Dogfish
8710011200,Centroscymnus spp.,.
8710011201,Centroscymnus coelolepis,Portugese Shark
8710011900,Cirrhigaleus spp.,.
8710011902,Cirrhigaleus asper,Roughskin Dogfish
8710030000,Echinorhinidae spp.,Bramble Sharks
8710030100,Echinorhinus spp.,.
8710030101,Echinorhinus brucus,Bramble Shark
8710040000,Centrophoridae spp.,Gulper Sharks
8710050000,Dalatiidae spp.,Sleeper Sharks
8710060000,Oxynotidae spp.,Rough Sharks
8710070000,Etmopteridae spp.,Lantern Sharks
8711010000,Squatinidae spp.,Angel Sharks
8711010100,Squatina spp.,.
8711010102,Squatina dumeril,Atlantic Angel Shark
8711010198,Squatina heteroptera,Disparate Angel Shark
8711010199,Squatina mexicana,Mexican Angel Shark
8713010000,Pristidae spp.,.
8713010100,Pristis spp.,.
8713010101,Pristis pectinata,Smalltooth Sawfish
8713010103,Pristis pristis,Largetooth Sawfish
