NODCCODE,Scientificname,Commonname
8835180202,Astrapogon puncticulatus,Blackfin Cardinalfish
8835180203,Astrapogon stellatus,Conchfish
8835180500,Phaeoptyx spp.,.
8835180501,Phaeoptyx conklini,Freckled Cardinalfis
8835180502,Phaeoptyx xenus,Sponge Cardinalfish
8835180503,Phaeoptyx pigmentaria,Dusky Cardinalfish
8835200000,Percidae spp.,.
8835200100,Etheostoma spp.,.
8835200101,Etheostoma fusiforme,Swamp Darter
8835200102,Etheostoma olmstedi,Tessellated Darter
8835200128,Etheostoma davisoni,Choctawhatchee Darter
8835200131,Etheostoma edwini,Brown Darter
8835200139,Etheostoma histrio,Harlequin Darter
8835200158,Etheostoma okaloosae,Okaloosa Darter
8835200162,Etheostoma parvipinne,Goldstripe Darter
8835200165,Etheostoma proeliare,Cypress Darter
8835200176,Etheostoma stigmaeum,Speckled Darter
8835200178,Etheostoma swaini,Gulf Darter
8835200200,Perca spp.,.
8835200201,Perca flavescens,Yellow Perch
8835200300,Percina spp.,.
8835200319,Percina nigrofasciata,Blackbanded Darter
8835200333,Percina vigil,Saddleback Darter
8835200335,Percina austroperca,Southern Logperch
8835200400,Sander spp.,.
8835200402,Sander canadense,Sauger
8835200500,Ammocrypta spp.,.
8835200503,Ammocrypta bifascia,Florida Sand Darter
8835200706,Etheostoma colorosum,Coastal Darter
8835220000,Malacanthidae spp.,.
8835220100,Caulolatilus spp.,.
8835220102,Caulolatilus cyanops,Blackline Tilefish
8835220103,Caulolatilus intermedius,Anchor Tilefish
8835220104,Caulolatilus microps,Blueline Tilefish
8835220105,Caulolatilus chrysops,Goldface Tilefish
8835220200,Lopholatilus spp.,Tilefish
8835220201,Lopholatilus chamaeleonticeps,Tilefish
8835220300,Malacanthus spp.,.
8835220301,Malacanthus plumieri,Sand Tilefish
8835250000,Pomatomidae spp.,.
8835250100,Pomatomus spp.,.
8835250101,Pomatomus saltatrix,Bluefish
8835250300,Scombrops spp.,.
8835250302,Scombrops oculatus,Atlantic Scombrops
8835260000,Rachycentridae spp.,.
8835260100,Rachycentron spp.,.
8835260101,Rachycentron canadum,Cobia
8835270000,Echeneidae spp.,.
8835270100,Remora spp.,.
8835270102,Remora osteochir,Marlinsucker
8835270103,Remora remora,Remora
8835270104,Remora brachyptera,Spearfish Remora
8835270200,Echeneis spp.,Sharksuckers
8835270201,Echeneis naucrates,Sharksucker
8835270202,Echeneis neucratoides,Whitefin Sharksucker
8835270300,Phtheirichthys spp.,.
8835270301,Phtheirichthys lineatus,Slender Suckerfish
8835270501,Remora albescens,White Suckerfish
8835280000,Carangidae spp.,Jacks
8835280100,Trachurus spp.,.
8835280102,Trachurus lathami,Rough Scad
8835280200,Alectis spp.,.
8835280202,Alectis ciliaris,African Pompano
8835280300,Caranx spp.,.
8835280301,Caranx bartholomaei,Yellow Jack
8835280303,Caranx hippos,Crevalle Jack
8835280304,Caranx latus,Horse-eye Jack
8835280306,Caranx crysos,Blue Runner
8835280307,Caranx lugubris,Black Jack
8835280308,Caranx ruber,Bar Jack
8835280400,Chloroscombrus spp.,.
8835280401,Chloroscombrus chrysurus,Atlantic Bumper
8835280500,Oligoplites spp.,.
8835280501,Oligoplites saurus,Leatherjacket
8835280600,Selar spp.,.
8835280601,Selar crumenophthalmus,Bigeye Scad
8835280700,Selene spp.,.
8835280701,Selene vomer,Lookdown
8835280705,Selene setapinnis,Atlantic Moonfish
8835280800,Seriola spp.,.
8835280801,Seriola dumerili,Greater Amberjack
8835280802,Seriola fasciata,Lesser Amberjack
8835280803,Seriola rivoliana,Almaco Jack
8835280804,Seriola zonata,Banded Rudderfish
8835280900,Trachinotus spp.,.
8835280901,Trachinotus carolinus,Florida Pompano
8835280902,Trachinotus falcatus,Permit
8835280903,Trachinotus goodei,Palometa
8835281200,Decapterus spp.,.
8835281201,Decapterus macarellus,Mackerel Scad
8835281202,Decapterus punctatus,Round Scad
8835281203,Decapterus tabl,Redtail Scad
8835281300,Elagatis spp.,.
8835281301,Elagatis bipinnulata,Rainbow Runner
8835281400,Hemicaranx spp.,.
8835281401,Hemicaranx amblyrhynchus,Bluntnose Jack
8835281500,Naucrates spp.,.
8835281501,Naucrates ductor,Pilotfish
8835281700,Uraspis spp.,.
8835281701,Uraspis secunda,Cottonmouth Jack
8835289900,Decapterus/Selar/Trachurus spp.,Unidentified Scads
8835290000,Coryphaenidae spp.,Dolphinfishes
8835290100,Coryphaena spp.,.
8835290101,Coryphaena hippurus,Dolphin
8835290102,Coryphaena equiselis,Pompano Dolphin
8835350000,Emmelichthyidae spp. ,Rovers
8835350100,Emmelichthyops spp.,.
8835350101,Emmelichthyops atlanticus,Bonnetmouth
8835350200,Inermia spp.,
8835350201,Haemulon vittatum,Boga
8835350400,Erythrocles spp.,.
8835350403,Erythrocles monodi,Crimson Rover
8835360000,Lutjanidae spp.,.
8835360100,Lutjanus spp.,.
8835360101,Lutjanus cyanopterus,Cubera Snapper
8835360102,Lutjanus griseus,Gray Snapper
8835360103,Lutjanus analis,Mutton Snapper
8835360104,Lutjanus apodus,Schoolmaster
8835360106,Lutjanus buccanella,Blackfin Snapper
8835360107,Lutjanus campechanus,Red Snapper
8835360109,Lutjanus jocu,Dog Snapper
8835360110,Lutjanus mahogoni,Mahogany Snapper
8835360111,Lutjanus purpureus,Caribbean Red Snapper
8835360112,Lutjanus synagris,Lane Snapper
8835360113,Lutjanus vivanus,Silk Snapper
8835360200,Apsilus spp.,.
8835360201,Apsilus dentatus,Black Snapper
8835360300,Etelis spp.,.
8835360301,Etelis oculatus,Queen Snapper
8835360400,Ocyurus spp.,.
8835360401,Ocyurus chrysurus,Yellowtail Snapper
8835360500,Rhomboplites spp.,.
8835360501,Rhomboplites aurorubens,Vermilion Snapper
8835360700,Pristipomoides spp.,.
8835360701,Pristipomoides aquilonaris,Wenchman
8835360702,Pristipomoides freemani,Slender Wenchman
8835380000,Lobotidae spp.,.
8835380100,Lobotes spp.,.
8835380101,Lobotes surinamensis,Tripletail
8835390000,Gerreidae spp.,Mojarras
8835390100,Eucinostomus spp.,Eucinostomus
8835390101,Eucinostomus argenteus,Spotfin Mojarra
8835390102,Eucinostomus gula,Silver Jenny
8835390104,Eucinostomus lefroyi,Mottled Mojarra
8835390105,Eucinostomus melanopterus,Flagfin Mojarra
8835390108,Eucinostomus havana,Bigeye Mojarra
8835390109,Eucinostomus jonesii,Slender Mojarra
8835390111,Eucinostomus harengulus,Tidewater Mojarra
8835390200,Diapterus spp.,.
8835390202,Diapterus rhombeus,Rhombic Mojarra
8835390203,Eugerres plumieri,Striped Mojarra
8835390204,Diapterus auratus,Irish Pompano
8835390300,Gerres spp.,.
8835390301,Gerres cinereus,Yellowfin Mojarra
8835390500,Eugerres spp.,Mojarras
8835400000,Haemulidae spp.,.
8835400100,Haemulon spp.,.
8835400101,Haemulon aurolineatum,Tomtate
8835400102,Haemulon plumierii,White Grunt
8835400103,Haemulon album,Margate
8835400106,Haemulon carbonarium,Caesar Grunt
8835400107,Haemulon chrysargyreum,Smallmouth Grunt
8835400108,Haemulon flavolineatum,French Grunt
8835400110,Haemulon macrostomum,Spanish Grunt
8835400111,Haemulon melanurum,Cottonwick
8835400113,Haemulon sciurus,Bluestriped Grunt
8835400116,Haemulon striatum,Striped Grunt
8835400117,Haemulon parra,Sailors Choice
8835400200,Orthopristis spp.,.
8835400201,Orthopristis chrysoptera,Pigfish
8835400300,Anisotremus spp.,.
8835400304,Anisotremus surinamensis,Black Margate
8835400306,Anisotremus virginicus,Porkfish
8835400400,Conodon spp.,.
8835400401,Conodon nobilis,Barred Grunt
8835400500,Pomadasys spp.,.
8835400502,Pomadasys crocro,Burro Grunt
8835430000,Sparidae spp.,.
8835430100,Stenotomus spp.,.
8835430101,Stenotomus chrysops,Scup
8835430102,Stenotomus caprinus,Longspine Porgy
8835430200,Lagodon spp.,.
8835430201,Lagodon rhomboides,Pinfish
8835430300,Archosargus spp.,.
8835430301,Archosargus probatocephalus,Sheepshead
8835430302,Archosargus rhomboidalis,Sea Bream
8835430400,Diplodus spp.,.
8835430401,Diplodus holbrookii,Spottail Pinfish
8835430402,Diplodus argenteus,Silver Porgy
8835430500,Calamus spp.,.
8835430501,Calamus arctifrons,Grass Porgy
8835430502,Calamus bajonado,Jolthead Porgy
8835430503,Calamus calamus,Saucereye Porgy
8835430505,Calamus leucosteus,Whitebone Porgy
8835430506,Calamus nodosus,Knobbed Porgy
8835430507,Calamus pennatula,Pluma Porgy
8835430508,Calamus proridens,Littlehead Porgy
8835430510,Calamus penna,Sheepshead Porgy
8835430598,Calamus calamus/nodosus,Calamus Complex 2
8835430599,Calamus nodosus/proridens,Calamus Complex 1
8835430600,Pagrus spp.,.
8835430601,Pagrus pagrus,Red Porgy
8835440000,Sciaenidae spp.,Drums
8835440100,Cynoscion spp.,.
8835440102,Cynoscion nebulosus,Spotted Seatrout
8835440103,Cynoscion nothus,Silver Seatrout
8835440104,Cynoscion regalis,Atlantic Weakfish
8835440106,Cynoscion arenarius,Sand Seatrout
8835440199,Cynoscion complex,C. regalis x C. arenarius
8835440300,Bairdiella spp.,.
8835440301,Bairdiella chrysoura,Silver Perch
8835440304,Corvula batabana,Blue Croaker
8835440305,Corvula sanctaeluciae,Striped Croaker
8835440400,Leiostomus spp.,.
8835440401,Leiostomus xanthurus,Spot
8835440500,Larimus spp.,.
8835440501,Larimus fasciatus,Banded Drum
8835440600,Menticirrhus spp.,Kingfishes
8835440601,Menticirrhus americanus,Southern Kingfish
8835440602,Menticirrhus littoralis,Gulf Kingfish
8835440603,Menticirrhus saxatilis,Northern Kingfish
8835440700,Micropogonias spp.,.
8835440701,Micropogonias undulatus,Atlantic Croaker
8835440799,Micropogonias furnieri,Whitemouth Croaker
8835440800,Pogonias spp.,.
8835440801,Pogonias cromis,Black Drum
8835440900,Sciaenops spp.,.
8835440901,Sciaenops ocellatus,Red Drum
8835441000,Stellifer spp.,.
8835441001,Stellifer lanceolatus,Star Drum
8835441100,Umbrina spp.,.
8835441101,Umbrina coroides,Sand Drum
8835441200,Equetus spp.,.
8835441202,Equetus lanceolatus,Jackknife-fish
8835441205,Equetus punctatus,Spotted Drum
8835441300,Odontoscion spp.,.
8835441301,Odontoscion dentex,Reef Croaker
8835441400,Pareques spp.,.
8835441401,Pareques acuminatus,High-hat
8835441402,Pareques umbrosus,Cubbyu
8835441403,Pareques iwamotoi,Blackbar Drum
8835450000,Mullidae spp.,.
8835450100,Mulloidichthys spp.,.
8835450101,Mulloidichthys martinicus,Yellow Goatfish
8835450200,Mullus spp.,.
8835450201,Mullus auratus,Red Goatfish
8835450300,Pseudupeneus spp.,Goatfish
8835450301,Pseudupeneus maculatus,Spotted Goatfish
8835450400,Upeneus spp.,.
8835450402,Upeneus parvus,Dwarf Goatfish
8835470000,Pempheridae spp.,.
8835470100,Pempheris spp.,.
8835470101,Pempheris schomburgkii,Glassy Sweeper
8835510000,Kyphosidae spp.,.
8835510100,Kyphosus spp.,.
8835510101,Kyphosus incisor,Yellow Chub
8835510102,Kyphosus saltatrix,Bermuda Chub
8835520000,Ephippidae spp.,Spadefishes
8835520100,Chaetodipterus spp.,.
8835520101,Chaetodipterus faber,Atlantic Spadefish
8835550000,Chaetodontidae spp.,.
8835550100,Chaetodon spp.,.
8835550101,Chaetodon ocellatus,Spotfin Butterflyfish
8835550102,Prognathodes aya,Bank Butterflyfish
8835550103,Chaetodon capistratus,Foureye Butterflyfish
8835550107,Chaetodon sedentarius,Reef Butterflyfish
8835550108,Chaetodon striatus,Banded Butterflyfish
8835550135,Prognathodes aculeatus,Longsnout Butterflyfish
8835550200,Centropyge spp.,.
8835550201,Centropyge argi,Cherubfish
8835550300,Holacanthus spp.,.
8835550301,Holacanthus ciliaris,Queen Angelfish
8835550303,Holacanthus tricolor,Rock Beauty
8835550304,Holacanthus bermudensis,Blue Angelfish
8835550400,Pomacanthus spp.,.
8835550401,Pomacanthus arcuatus,Gray Angelfish
8835550402,Pomacanthus paru,French Angelfish
8835550404,Pomacanthus imperator,Emperor Angelfish
8835550500,Prognathodes spp.,.
8835550501,Prognathodes guyanensis,Guyana Butterflyfish
8835560000,Pomacanthidae spp.,Angelfishes
8835580100,Polyprion spp.,Wreckfish
8835580101,Polyprion americanus,Wreckfish
8835610000,Cichlidae spp.,Cichlids
8835610100,Astronotus spp.,.
8835610101,Astronotus ocellatus,Oscar
8835610200,Cichlasoma spp.,.
8835610201,Cichlasoma bimaculatum,Black Acara
8835610202,Herichthys cyanoguttatus,Rio Grande Cichlid
8835610203,Amatitlania nigrofasciata,Convict Cichlid
8835610204,Rocio octofasciata,Jack Dempsey
8835610207,Parachromis managuensis,Jaguar Guapote
8835610208,Thorichthys meeki,Firemouth Cichlid
8835610209,Parachromis salvini,Yellowbelly Cichlid
8835610221,Cichlasoma urophthalmus,Mayan Cichlid
8835610224,Amphilophus citrinellus,Midas Cichlid
8835610300,Hemichromis spp.,.
8835610301,Hemichromis letourneuxi,Jewelfish
8835610400,Tilapia spp.,Tilapias
8835610401,Oreochromis aureus,Blue Tilapia
8835610402,Tilapia mariae,Spotted Tilapia
8835610403,Sarotherodon melanotheron,Blackchin Tilapia
8835610900,Cichla spp.,.
8835610901,Cichla ocellaris,Butterfly Peacock Bass
8835610902,Cichla temensis,Speckled Paron
8835611600,Heros spp.,.
8835611601,Heros severus,Banded Cichlid
8835612100,Geophagus spp.,.
8835612104,Geophagus surinamensis,Redstriped Eartheater
8835614000,Oreochromis spp.,Blue Tilapias
8835614001,Oreochromis mossambicus,Mozambique Tilapia
8835614003,Oreochromis niloticus,Nile Tilapia
8835614004,Oreochromis complex,Blue and Nile Tilapia complex
8835614800,Sarotherodon spp.,.
8835615000,Oreochromis/Sarotherodon spp.,Tilapias
8835620000,Pomacentridae spp.,Damselfishes
8835620100,Abudefduf spp.,.
8835620101,Abudefduf saxatilis,Sergeant Major
8835620102,Abudefduf taurus,Night Sergeant
8835620300,Chromis spp.,.
8835620301,Chromis cyanea,Blue Chromis
8835620302,Chromis enchrysura,Yellowtail Reeffish
8835620303,Chromis insolata,Sunshinefish
8835620305,Chromis multilineata,Brown Chromis
8835620307,Chromis scotti,Purple Reeffish
8835620400,Microspathodon spp.,.
8835620401,Microspathodon chrysurus,Yellowtail Damselfish
8835621200,Stegastes spp.,.
8835621202,Stegastes diencaeus,Longfin Damselfish
8835621229,Stegastes adustus,Dusky Damselfish
8835621230,Stegastes leucostictus,Beaugregory
8835621232,Stegastes planifrons,Threespot Damselfish
8835621233,Stegastes variabilis,Cocoa Damselfish
8835621234,Stegastes partitus,Bicolor Damselfish
8835640000,Cirrhitidae spp.,Hawkfishes
8835640100,Amblycirrhitus spp.,.
8835640101,Amblycirrhitus pinos,Redspotted Hawkfish
8835710000,Bramidae spp.,.
8835710100,Brama spp.,.
8835710102,Brama brama,Atlantic Pomfret
8835710103,Brama caribbea,Caribbean Pomfret
8835710104,Brama dussumieri,Lowfin Pomfret
8835710300,Pterycombus spp.,.
8835710301,Pterycombus brama,Atlantic Fanfish
8835710700,Taractichthys spp.,.
8835710701,Taractichthys longipinnis,Bigscale Pomfret
8835740000,Elassomatidae spp.,.
8835740100,Elassoma spp.,Pygmy Sunfishes
8835740101,Elassoma evergladei,Everglades Pygmy Sunfish
8835740102,Elassoma okefenokee,Okefenokee Pygmy Sunfish
8835740103,Elassoma zonatum,Banded Pygmy Sunfish
8835740199,Elassoma gilberti,Gulf Coast Pygmy Sunfish
8835750200,Morone spp.,.
8835750202,Morone saxatilis,Striped Bass
8835750203,Morone chrysops x saxatilis,Hybrid
8835750204,Morone chrysops,White Bass
8835750205,Morone mississippiensis,Yellow Bass
8835760000,Ptereleotridae spp.,Dartfishes
8836010000,Mugilidae spp.,.
8836010100,Mugil spp.,Mullets
8836010101,Mugil cephalus,Striped Mullet
8836010102,Mugil curema,White Mullet
8836010103,Mugil rubrioculus,Redeye Mullet
8836010104,Mugil liza,Liza
8836010105,Mugil trichodon,Fantail Mullet
8836010400,Agonostomus spp.,.
8836010401,Agonostomus monticola,Mountain Mullet
8837010000,Sphyraenidae spp.,.
8837010100,Sphyraena spp.,.
8837010102,Sphyraena borealis,Sennet
8837010103,Sphyraena guachancho,Guaguanche
8837010104,Sphyraena barracuda,Great Barracuda
8837020100,Neoepinnula spp.,.
8837020101,Neoepinnula americana,American Sackfish
8838010000,Polynemidae spp.,.
8838010100,Polydactylus spp.,.
8838010101,Polydactylus octonemus,Atlantic Threadfin
8838010102,Polydactylus virginicus,Barbu
8838010104,Polydactylus oligodon,Littlescale Threadfi
8839010000,Labridae spp. (wrasses),Wrasses
8839010300,Bodianus spp.,.
8839010301,Bodianus pulchellus,Spotfin Hogfish
8839010302,Bodianus rufus,Spanish Hogfish
8839010400,Clepticus spp.,.
8839010401,Clepticus parrae,Creole Wrasse
8839010500,Decodon spp.,.
8839010501,Decodon puellaris,Red Hogfish
8839010600,Doratonotus spp.,.
8839010601,Doratonotus megalepis,Dwarf Wrasse
8839010700,Halichoeres spp.,.
8839010701,Halichoeres bathyphilus,Greenband Wrasse
8839010702,Halichoeres bivittatus,Slippery Dick
8839010703,Halichoeres caudalis,Painted Wrasse
8839010704,Halichoeres cyanocephalus,Yellowcheek Wrasse
8839010705,Halichoeres garnoti,Yellowhead Wrasse
8839010706,Halichoeres maculipinna,Clown Wrasse
8839010707,Halichoeres pictus,Rainbow Wrasse
8839010708,Halichoeres poeyi,Blackear Wrasse
8839010709,Halichoeres radiatus,Puddingwife
8839010800,Xyrichtys spp.,.
8839010801,Xyrichtys martinicensis,Rosy Razorfish
8839010802,Xyrichtys novacula,Pearly Razorfish
8839010804,Xyrichtys splendens,Green Razorfish
8839010900,Lachnolaimus spp.,.
8839010901,Lachnolaimus maximus,Hogfish
8839011000,Thalassoma spp.,.
8839011001,Thalassoma bifasciatum,Bluehead
8839030000,Labridae spp. (parrotfishes),Parrotfishes
8839030100,Scarus spp.,.
8839030101,Scarus coeruleus,Blue Parrotfish
8839030102,Scarus coelestinus,Midnight Parrotfish
8839030103,Scarus iseri,Striped Parrotfish
8839030104,Scarus guacamaia,Rainbow Parrotfish
8839030105,Scarus taeniopterus,Princess Parrotfish
8839030106,Scarus vetula,Queen Parrotfish
8839030200,Cryptotomus spp.,.
8839030201,Cryptotomus roseus,Bluelip Parrotfish
8839030300,Nicholsina spp.,.
8839030301,Nicholsina usta,Emerald Parrotfish
8839030400,Sparisoma spp.,.
8839030401,Sparisoma atomarium,Green Blotch Parrotfish
8839030402,Sparisoma aurofrenatum,Redbanned Parrotfish
8839030403,Sparisoma chrysopterum,Redtail Parrotfish
8839030404,Sparisoma radians,Bucktooth Parrotfish
8839030405,Sparisoma rubripinne,Redfin Parrotfish
8839030406,Sparisoma viride,Spotlight Parrotfish
8839040000,Labridae spp. (Unknown),Unknown Wrasse or Parrotfish
8840020000,Opistognathidae spp.,Jawfishes
8840020100,Lonchopisthus spp.,.
8840020103,Lonchopisthus micrognathus,Swordtail Jawfish
8840020200,Opistognathus spp.,Spotfin Jawfishes
8840020201,Opistognathus lonchurus,Moustache Jawfish
8840020202,Opistognathus maxillosus,Mottled Jawfish
8840020203,Opistognathus aurifrons,Yellowhead Jawfish
8840020206,Opistognathus macrognathus,Banded Jawfish
8840020207,Opistognathus whitehursti,Dusky Jawfish
8840020211,Opistognathus nothus,Yellowmouth Jawfish
8840020297,Opistognathidae spp. (dark),Jawfishes (dark)
8840020298,Opistognathidae spp. (light),Jawfishes (light)
8840020299,Opistognathus robinsi,Spotfin Jawfish
8840070000,Percophidae spp.,Duckbills
8840070100,Bembrops spp.,.
8840070101,Bembrops anatirostris,Duckbill Flathead
8840070102,Bembrops gobioides,Goby Flathead
8840130000,Dactyloscopidae spp.,.
8840130100,Gillellus spp.,.
8840130101,Gillellus greyae,Arrow Stargazer
8840130103,Gillellus uranidea,Warteye Stargazer
8840130104,Gillellus healae,Masked Stargazer
8840130200,Dactyloscopus spp.,.
8840130201,Dactyloscopus tridigitatus,Sand Stargazer
8840130202,Dactyloscopus crossotus,Bigeye Stargazer
8840130204,Dactyloscopus moorei,Speckled Stargazer
8840130205,Dactyloscopus foraminosus,Reticulate Stargazer
8840130500,Platygillellus spp.,.
8840130501,Platygillellus rubrocinctus,Saddle Stargazer
8840140000,Uranoscopidae spp.,Stargazers
8840140100,Astroscopus spp.,.
8840140102,Astroscopus y-graecum,Southern Stargazer
8840140200,Xenocephalus spp.,.
8840140201,Xenocephalus egregius,Freckled Stargazer
8840140300,Kathetostoma spp.,.
8840140301,Kathetostoma albigutta,Lancer Stargazer
8842010000,Blenniidae spp.,Combtooth Blennies
8842010200,Hypsoblennius spp.,.
8842010201,Hypsoblennius hentz,Feather Blenny
8842010202,Hypsoblennius ionthas,Freckled Blenny
8842010300,Chasmodes spp.,.
8842010301,Chasmodes bosquianus,Striped Blenny
8842010302,Chasmodes saburrae,Florida Blenny
8842010303,Chasmodes longimaxilla,Stretchjaw Blenny
8842010400,Entomacrodus spp.,.
8842010401,Entomacrodus nigricans,Pearl Blenny
8842010500,Hypleurochilus spp.,.
8842010501,Hypleurochilus geminatus,Crested Blenny
8842010502,Hypleurochilus pseudoaequipinnis,Oyster Blenny
8842010503,Hypleurochilus bermudensis,Barred Blenny
8842010504,Hypleurochilus springeri,Orangespotted Blenny
8842010598,Hypleurochilus caudovittatus,Zebratail Blenny
8842010599,Hypeurochilus multifilis,Plumed Blenny
8842010600,Ophioblennius spp.,.
8842010601,Ophioblennius macclurei,Redlip Blenny
8842011400,Lupinoblennius spp.,.
8842011401,Lupinoblennius vinctus,Mangrove Blenny
8842011402,Lupinoblennius nicholsi,Highfin Blenny
8842012500,Parablennius spp.,.
8842012501,Parablennius marmoreus,Seaweed Blenny
8842012600,Scartella spp.,.
8842012601,Scartella cristata,Molly Miller
8842080000,Tripterygiidae spp.,Triplefin Blennies
8842080100,Enneanectes spp.,.
8842080101,Enneanectes altivelis,Lofty Triplefin
8842080102,Enneanectes boehlkei,Roughhead Triplefin
8842080103,Enneanectes pectoralis,Redeye Triplefin
8842090000,Labrisomidae spp.,.
8842090200,Emblemaria spp.,.
8842090201,Emblemaria atlantica,Banner Blenny
8842090202,Emblemaria pandionis,Sailfin Blenny
8842090203,Emblemaria piratula,Pirate Blenny
8842090300,Labrisomus spp.,.
8842090301,Labrisomus bucciferus,Puffcheek Blenny
8842090303,Labrisomus gobio,Palehead Blenny
8842090304,Labrisomus guppyi,Mimic Blenny
8842090305,Labrisomus haitiensis,Longfin Blenny
8842090306,Labrisomus nigricinctus,Spotcheek Blenny
8842090307,Labrisomus nuchipinnis,Hairy Blenny
8842090308,Labrisomus kalisherae,Downy Blenny
8842090400,Malacoctenus spp.,.
8842090401,Malacoctenus aurolineatus,Goldline Blenny
8842090403,Malacoctenus macropus,Rosy Blenny
8842090404,Malacoctenus triangulatus,Saddled Blenny
8842090500,Paraclinus spp.,.
8842090501,Paraclinus grandicomis,Horned Blenny
8842090502,Paraclinus cingulatus,Coral Blenny
8842090503,Paraclinus fasciatus,Banded Blenny
8842090504,Paraclinus infrons,Bald Blenny
8842090506,Paraclinus marmoratus,Marbled Blenny
8842090507,Paraclinus nigripinnis,Blackfin Blenny
8842090600,Starksia spp.,.
8842090602,Starksia ocellata,Checkered Blenny
8842090603,Starksia starcki,Key Blenny
8842090700,Stathmonotus spp.,.
8842090701,Stathmonotus hemphillii,Blackbelly Blenny
8842090702,Stathmonotus stahli,Southern Eelgrass Blenny
8842090799,Stathmonotus tekla,Eelgrass Blenny
8842090800,Acanthemblemaria spp.,.
8842090801,Acanthemblemaria aspera,Roughhead Blenny
8842090803,Acanthemblemaria chaplini,Papillose Blenny
8842091000,Chaenopsis spp.,.
8842091002,Chaenopsis ocellata,Bluethroat Pikeblenny
8842091003,Chaenopsis limbaughi,Yellowface Pikeblenny
8842091004,Chaenopsis roseola,Flecked Pikeblenny
8842091200,Hemiemblemaria spp.,.
8842091201,Hemiemblemaria simula,Wrasse Blenny
8842091500,Nemaclinus spp.,.
8842091501,Nemaclinus atelestos,Threadfin Blenny
8842093100,Emblemariopsis spp.,.
8842093101,Emblemariopsis bahamensis,Blackhead Blenny
8842093102,Emblemariopsis diaphana,Glass Blenny
8842100000,Chaenopsidae spp.,Tube Blennies
8842100100,Protemblemaria spp.,Flag Blennies
8842100101,Protemblemaria punctata,Chameleon Blenny
8846010000,Callionymidae spp.,Dragonets
8846010700,Diplogrammus spp.,.
8846010702,Diplogrammus pauciradiatus,Spotted Dragonet
8846010800,Foetorepus spp.,.
8846010801,Foetorepus agassizii,Spotfin Dragonet
8846010802,Foetorepus goodenbeani,Palefin Dragonet
8846010900,Paradiplogrammus spp.,.
8846010901,Paradiplogrammus bairdi,Lancer Dragonet
8847010000,Gobiidae spp.,Gobies
8847010200,Coryphopterus spp.,.
8847010202,Coryphopterus alloides,Barfin Goby
8847010203,Coryphopterus dicrus,Colon Goby
8847010204,Coryphopterus eidolon,Pallid Goby
8847010205,Coryphopterus glaucofraenum,Bridled Goby
8847010206,Coryphopterus hyalinus,Glass Goby
8847010207,Coryphopterus lipernes,Peppermint Goby
8847010208,Coryphopterus personatus,Masked Goby
8847010209,Coryphopterus punctipectophorus,Spotted Goby
8847010210,Coryphopterus thrix,Bartail Goby
8847010211,Coryphopterus tortugae,Sand Goby
8847010299,Coryphopterus kuna,Kuna Goby
8847010400,Evorthodus spp.,.
8847010401,Evorthodus lyricus,Lyre Goby
8847010500,Gobionellus spp.,.
8847010501,Ctenogobius boleosoma,Darter Goby
8847010503,Gobionellus oceanicus,Highfin Goby
8847010504,Ctenogobius shufeldti,Freshwater Goby
8847010505,Oxyurichthys stigmalophius,Spotfin Goby
8847010506,Ctenogobius stigmaticus,Marked Goby
8847010507,Ctenogobius stigmaturus,Spottail Goby
8847010510,Ctenogobius saepepallens,Dash Goby
8847010511,Ctenogobius smaragdus,Emerald Goby
8847010513,Ctenogobius pseudofasciatus,Slashcheek Goby
8847010600,Gobiosoma spp.,Gobiosoma Gobies
8847010601,Gobiosoma bosc,Naked Goby
8847010602,Gobiosoma ginsburgi,Seaboard Goby
8847010603,Gobiosoma robustum,Code Goby
8847010604,Gobiosoma grosvenori,Rockcut Goby
8847010606,Gobiosoma longipala,Twoscale Goby
8847010607,Elacatinus macrodon,Tiger Goby
8847010608,Elacatinus oceanops,Neon Goby
8847010609,Elacatinus xanthiprora,Yellowprow Goby
8847010700,Microgobius spp.,.
8847010701,Microgobius gulosus,Clown Goby
8847010702,Microgobius thalassinus,Green Goby
8847010703,Microgobius carri,Seminole Goby
8847010704,Microgobius microlepis,Banner Goby
8847010800,Barbulifer spp.,.
8847010801,Barbulifer ceuthoecus,Bearded Goby
8847010900,Bathygobius spp.,.
8847010901,Bathygobius curacao,Notchtongue Goby
8847010902,Bathygobius mystacium,Island Frillfin
8847010903,Bathygobius soporator,Frillfin Goby
8847010997,Bathygobius lacertus,Checkerboard Frillfin
8847010998,Bathygobius geminatus,Twinspotted Frillfin
8847010999,Bathygobius antilliensis,Antillies Frillfin
8847011000,Evermannichthys spp.,.
8847011002,Evermannichthys spongicola,Sponge Goby
8847011100,Gnatholepis spp.,.
8847011101,Gnatholepis thompsoni,Goldspot Goby
8847011200,Gobioides spp.,.
8847011201,Gobioides broussonetii,Violet Goby
8847011400,Ptereleotris spp.,Dartfishes
8847011401,Ptereleotris calliura,Blue Dartfish
8847011500,Risor spp.,.
8847011501,Risor ruber,Tusked Goby
8847011600,Bollmannia spp.,.
8847011601,Bollmannia communis,Ragged Goby
8847011602,Bollmannia boqueronensis,White-eye Goby
8847011603,Bollmannia eigenmanni,Shelf Goby
8847011700,Chriolepis spp.,.
8847011703,Chriolepis vespa,Wasp Goby
8847011800,Erotelis spp.,.
